txn_id,category
T000001,购物
T000002,房租
T000003,咖啡
T000004,交通
T000005,餐饮外卖
T000006,餐饮外卖
T000007,咖啡
T000008,超市
T000009,咖啡
T000010,购物
T000011,交通
T000012,交通
T000013,餐饮外卖
T000014,订阅
T000015,订阅
T000016,超市
T000017,餐饮外卖
T000018,购物
T000019,医疗
T000020,餐饮外卖
T000021,餐饮外卖
T000022,超市
T000023,水电燃气
T000024,其他
T000025,超市
T000026,咖啡
T000027,咖啡
T000028,交通
T000029,超市
T000030,购物
T000031,超市
T000032,购物
T000033,交通
T000034,餐饮外卖
T000035,餐饮外卖
T000036,通讯
T000037,超市
T000038,咖啡
T000039,餐饮外卖
T000040,购物
T000041,咖啡
T000042,超市
T000043,交通
T000044,咖啡
T000045,咖啡
T000046,餐饮外卖
T000047,餐饮外卖
T000048,餐饮外卖
T000049,超市
T000050,超市
T000051,餐饮外卖
T000052,交通
T000053,餐饮外卖
T000054,购物
T000055,娱乐
T000056,交通
T000057,餐饮外卖
T000058,餐饮外卖
T000059,餐饮外卖
T000060,超市
T000061,娱乐
T000062,订阅
T000063,购物
T000064,咖啡
T000065,咖啡
T000066,订阅
T000067,餐饮外卖
T000068,交通
T000069,购物
T000070,餐饮外卖
T000071,餐饮外卖
T000072,咖啡
T000073,购物
T000074,餐饮外卖
T000075,交通
T000076,超市
T000077,超市
T000078,咖啡
T000079,咖啡
T000080,交通
T000081,餐饮外卖
T000082,交通
T000083,餐饮外卖
T000084,餐饮外卖
T000085,房租
T000086,咖啡
T000087,餐饮外卖
T000088,餐饮外卖
T000089,交通
T000090,交通
T000091,餐饮外卖
T000092,咖啡
T000093,娱乐
T000094,餐饮外卖
T000095,交通
T000096,购物
T000097,购物
T000098,医疗
T000099,餐饮外卖
T000100,其他
T000101,咖啡
T000102,餐饮外卖
T000103,订阅
T000104,订阅
T000105,咖啡
T000106,餐饮外卖
T000107,购物
T000108,餐饮外卖
T000109,餐饮外卖
T000110,超市
T000111,交通
T000112,购物
T000113,餐饮外卖
T000114,咖啡
T000115,交通
T000116,咖啡
T000117,水电燃气
T000118,超市
T000119,餐饮外卖
T000120,餐饮外卖
T000121,购物
T000122,餐饮外卖
T000123,超市
T000124,购物
T000125,餐饮外卖
T000126,通讯
T000127,咖啡
T000128,购物
T000129,餐饮外卖
T000130,医疗
T000131,交通
T000132,餐饮外卖
T000133,餐饮外卖
T000134,超市
T000135,咖啡
T000136,娱乐
T000137,交通
T000138,咖啡
T000139,餐饮外卖
T000140,交通
T000141,餐饮外卖
T000142,超市
T000143,餐饮外卖
T000144,订阅
T000145,超市
T000146,餐饮外卖
T000147,咖啡
T000148,咖啡
T000149,咖啡
T000150,餐饮外卖
T000151,咖啡
T000152,餐饮外卖
T000153,咖啡
T000154,购物
T000155,订阅
T000156,餐饮外卖
T000157,交通
T000158,交通
T000159,超市
T000160,超市
T000161,交通
T000162,超市
T000163,超市
T000164,咖啡
T000165,超市
T000166,交通
T000167,交通
T000168,餐饮外卖
T000169,交通
T000170,咖啡
T000171,超市
T000172,超市
T000173,房租
T000174,餐饮外卖
T000175,购物
T000176,餐饮外卖
T000177,其他
T000178,餐饮外卖
T000179,交通
T000180,购物
T000181,购物
T000182,咖啡
T000183,餐饮外卖
T000184,超市
T000185,购物
T000186,订阅
T000187,订阅
T000188,超市
T000189,餐饮外卖
T000190,餐饮外卖
T000191,餐饮外卖
T000192,超市
T000193,超市
T000194,交通
T000195,水电燃气
T000196,餐饮外卖
T000197,餐饮外卖
T000198,交通
T000199,超市
T000200,交通
T000201,咖啡
T000202,餐饮外卖
T000203,咖啡
T000204,交通
T000205,购物
T000206,咖啡
T000207,咖啡
T000208,餐饮外卖
T000209,餐饮外卖
T000210,餐饮外卖
T000211,超市
T000212,餐饮外卖
T000213,通讯
T000214,超市
T000215,餐饮外卖
T000216,咖啡
T000217,咖啡
T000218,娱乐
T000219,咖啡
T000220,购物
T000221,餐饮外卖
T000222,购物
T000223,咖啡
T000224,咖啡
T000225,交通
T000226,咖啡
T000227,超市
T000228,交通
T000229,交通
T000230,咖啡
T000231,餐饮外卖
T000232,超市
T000233,餐饮外卖
T000234,交通
T000235,咖啡
T000236,购物
T000237,购物
T000238,订阅
T000239,超市
T000240,交通
T000241,咖啡
T000242,超市
T000243,餐饮外卖
T000244,餐饮外卖
T000245,餐饮外卖
T000246,交通
T000247,交通
T000248,超市
T000249,订阅
T000250,咖啡
T000251,超市
T000252,其他
T000253,交通
T000254,餐饮外卖
T000255,餐饮外卖
T000256,咖啡
T000257,娱乐
T000258,医疗
T000259,餐饮外卖
T000260,交通
T000261,购物
T000262,咖啡
T000263,咖啡
T000264,超市
T000265,餐饮外卖
T000266,餐饮外卖
T000267,房租
T000268,交通
T000269,餐饮外卖
T000270,购物
T000271,超市
T000272,购物
T000273,餐饮外卖
T000274,餐饮外卖
T000275,订阅
T000276,医疗
T000277,订阅
T000278,购物
T000279,交通
T000280,超市
T000281,餐饮外卖
T000282,餐饮外卖
T000283,购物
T000284,咖啡
T000285,超市
T000286,超市
T000287,餐饮外卖
T000288,水电燃气
T000289,餐饮外卖
T000290,餐饮外卖
T000291,餐饮外卖
T000292,购物
T000293,餐饮外卖
T000294,购物
T000295,超市
T000296,购物
T000297,超市
T000298,餐饮外卖
T000299,咖啡
T000300,咖啡
T000301,餐饮外卖
T000302,餐饮外卖
T000303,超市
T000304,餐饮外卖
T000305,通讯
T000306,交通
T000307,咖啡
T000308,超市
T000309,交通
T000310,咖啡
T000311,超市
T000312,交通
T000313,交通
T000314,餐饮外卖
T000315,餐饮外卖
T000316,餐饮外卖
T000317,其他
T000318,餐饮外卖
T000319,餐饮外卖
T000320,咖啡
T000321,咖啡
T000322,咖啡
T000323,咖啡
T000324,订阅
T000325,咖啡
T000326,交通
T000327,咖啡
T000328,交通
T000329,购物
T000330,餐饮外卖
T000331,超市
T000332,超市
T000333,订阅
T000334,娱乐
T000335,餐饮外卖
T000336,餐饮外卖
T000337,超市
T000338,交通
T000339,交通
T000340,咖啡
T000341,其他
T000342,超市
T000343,交通
T000344,购物
T000345,咖啡
T000346,餐饮外卖
T000347,超市
T000348,咖啡
T000349,娱乐
T000350,餐饮外卖
T000351,购物
T000352,餐饮外卖
T000353,咖啡
T000354,超市
T000355,购物
T000356,餐饮外卖
T000357,房租
T000358,交通
T000359,医疗
T000360,交通
T000361,餐饮外卖
T000362,餐饮外卖
T000363,超市
T000364,超市
T000365,咖啡
T000366,订阅
T000367,超市
T000368,订阅
T000369,咖啡
T000370,其他
T000371,咖啡
T000372,咖啡
T000373,餐饮外卖
T000374,餐饮外卖
T000375,水电燃气
T000376,咖啡
T000377,餐饮外卖
T000378,餐饮外卖
T000379,交通
T000380,咖啡
T000381,餐饮外卖
T000382,餐饮外卖
T000383,餐饮外卖
T000384,咖啡
T000385,购物
T000386,咖啡
T000387,交通
T000388,通讯
T000389,购物
T000390,咖啡
T000391,购物
T000392,购物
T000393,餐饮外卖
T000394,娱乐
T000395,交通
T000396,餐饮外卖
T000397,餐饮外卖
T000398,餐饮外卖
T000399,咖啡
T000400,娱乐
T000401,交通
T000402,餐饮外卖
T000403,咖啡
T000404,购物
T000405,超市
T000406,交通
T000407,订阅
T000408,咖啡
T000409,咖啡
T000410,超市
T000411,交通
T000412,餐饮外卖
T000413,超市
T000414,订阅
T000415,餐饮外卖
T000416,交通
T000417,咖啡
T000418,交通
T000419,餐饮外卖
T000420,餐饮外卖
T000421,餐饮外卖
T000422,餐饮外卖
T000423,餐饮外卖
T000424,超市
T000425,超市
T000426,超市
T000427,超市
T000428,超市
T000429,咖啡
T000430,餐饮外卖
T000431,咖啡
T000432,购物
T000433,餐饮外卖
T000434,餐饮外卖
T000435,咖啡
T000436,超市
T000437,交通
T000438,房租
T000439,餐饮外卖
T000440,购物
T000441,餐饮外卖
T000442,咖啡
T000443,咖啡
T000444,咖啡
T000445,购物
T000446,旅行
T000447,咖啡
T000448,餐饮外卖
T000449,娱乐
T000450,交通
T000451,超市
T000452,咖啡
T000453,购物
T000454,交通
T000455,餐饮外卖
T000456,购物
T000457,订阅
T000458,订阅
T000459,购物
T000460,旅行
T000461,交通
T000462,咖啡
T000463,餐饮外卖
T000464,其他
T000465,餐饮外卖
T000466,水电燃气
T000467,超市
T000468,咖啡
T000469,餐饮外卖
T000470,餐饮外卖
T000471,餐饮外卖
T000472,咖啡
T000473,通讯
T000474,餐饮外卖
T000475,餐饮外卖
T000476,交通
T000477,咖啡
T000478,咖啡
T000479,餐饮外卖
T000480,餐饮外卖
T000481,交通
T000482,购物
T000483,交通
T000484,餐饮外卖
T000485,餐饮外卖
T000486,交通
T000487,餐饮外卖
T000488,交通
T000489,超市
T000490,购物
T000491,订阅
T000492,餐饮外卖
T000493,餐饮外卖
T000494,超市
T000495,餐饮外卖
T000496,餐饮外卖
T000497,餐饮外卖
T000498,交通
T000499,购物
T000500,餐饮外卖
T000501,餐饮外卖
T000502,咖啡
T000503,咖啡
T000504,咖啡
T000505,餐饮外卖
T000506,订阅
T000507,超市
T000508,超市
T000509,交通
T000510,超市
T000511,超市
T000512,娱乐
T000513,购物
T000514,咖啡
T000515,超市
T000516,交通
T000517,购物
T000518,超市
T000519,交通
T000520,超市
T000521,餐饮外卖
T000522,餐饮外卖
T000523,咖啡
T000524,超市
T000525,咖啡
T000526,餐饮外卖
T000527,餐饮外卖
T000528,餐饮外卖
T000529,餐饮外卖
T000530,房租
T000531,超市
T000532,交通
T000533,餐饮外卖
T000534,超市
T000535,购物
T000536,餐饮外卖
T000537,交通
T000538,咖啡
T000539,餐饮外卖
T000540,餐饮外卖
T000541,餐饮外卖
T000542,订阅
T000543,咖啡
T000544,咖啡
T000545,订阅
T000546,餐饮外卖
T000547,超市
T000548,咖啡
T000549,购物
T000550,交通
T000551,交通
T000552,咖啡
T000553,超市
T000554,交通
T000555,餐饮外卖
T000556,水电燃气
T000557,超市
T000558,超市
T000559,餐饮外卖
T000560,超市
T000561,超市
T000562,餐饮外卖
T000563,购物
T000564,餐饮外卖
T000565,超市
T000566,交通
T000567,咖啡
T000568,通讯
T000569,购物
T000570,咖啡
T000571,咖啡
T000572,咖啡
T000573,购物
T000574,购物
T000575,餐饮外卖
T000576,餐饮外卖
T000577,餐饮外卖
T000578,咖啡
T000579,交通
T000580,购物
T000581,交通
T000582,超市
T000583,购物
T000584,餐饮外卖
T000585,餐饮外卖
T000586,餐饮外卖
T000587,其他
T000588,咖啡
T000589,餐饮外卖
T000590,订阅
T000591,咖啡
T000592,超市
T000593,超市
T000594,娱乐
T000595,咖啡
T000596,交通
T000597,餐饮外卖
T000598,交通
T000599,购物
T000600,超市
T000601,订阅
