txn_id,date,merchant,amount,account
T000001,2025-09-01,AMZN Mktp US*9X2LP,161.99,credit
T000002,2025-09-01,PACIFIC PROPERTY MGMT RENT,3250.00,checking
T000003,2025-09-01,PEETS #88,5.33,credit
T000004,2025-09-01,UBER *TRIP,46.27,credit
T000005,2025-09-02,CHIPOTLE 1234,27.39,credit
T000006,2025-09-02,TST* RAMEN KOBO,20.93,credit
T000007,2025-09-03,PEETS #88,8.90,credit
T000008,2025-09-04,SAFEWAY #1234 SEATTLE WA,153.71,credit
T000009,2025-09-04,STARBUCKS #1234 SEATTLE WA,4.77,credit
T000010,2025-09-04,TARGET T-1234,93.43,credit
T000011,2025-09-04,TRANSIT AUTHORITY,18.53,credit
T000012,2025-09-04,TRANSIT AUTHORITY,51.11,credit
T000013,2025-09-04,TST* RAMEN KOBO,41.03,credit
T000014,2025-09-05,NETFLIX.COM,15.49,checking
T000015,2025-09-05,SPOTIFY P0A1B2C3,11.99,checking
T000016,2025-09-05,TRADER JOES #567,157.82,credit
T000017,2025-09-05,TST* RAMEN KOBO,55.88,credit
T000018,2025-09-06,TARGET T-1234,89.58,credit
T000019,2025-09-07,CVS PHARMACY #2231,178.54,credit
T000020,2025-09-07,TST* SUSHI PALACE,25.64,credit
T000021,2025-09-07,TST* SUSHI PALACE,65.47,credit
T000022,2025-09-07,WHOLE FOODS MKT #10263,125.60,credit
T000023,2025-09-08,CITY UTILITIES ELECTRIC,60.01,checking
T000024,2025-09-08,FEDEX OFFICE 1234,46.31,credit
T000025,2025-09-08,WHOLE FOODS MKT #10263,28.75,credit
T000026,2025-09-09,BLUE BOTTLE COFFEE,9.55,credit
T000027,2025-09-09,PEETS #88,8.96,credit
T000028,2025-09-09,TRANSIT AUTHORITY,56.78,credit
T000029,2025-09-10,TRADER JOES #567,114.17,credit
T000030,2025-09-11,AMZN Mktp US*9X2LP,187.33,credit
T000031,2025-09-11,SAFEWAY #1234 SEATTLE WA,179.65,credit
T000032,2025-09-11,TARGET T-1234,169.13,credit
T000033,2025-09-11,TRANSIT AUTHORITY,56.81,credit
T000034,2025-09-11,TST* RAMEN KOBO,34.70,credit
T000035,2025-09-12,CHIPOTLE 1234,50.98,credit
T000036,2025-09-12,VERIZON WIRELESS,68.00,checking
T000037,2025-09-12,WHOLE FOODS MKT #10263,116.68,credit
T000038,2025-09-13,PEETS #88,5.61,credit
T000039,2025-09-13,TST* RAMEN KOBO,28.06,credit
T000040,2025-09-14,AMZN Mktp US*9X2LP,115.48,credit
T000041,2025-09-14,BLUE BOTTLE COFFEE,4.85,credit
T000042,2025-09-14,COSTCO WHSE #123,168.43,credit
T000043,2025-09-14,SHELL OIL 57440,22.79,credit
T000044,2025-09-14,STARBUCKS #1234 SEATTLE WA,7.81,credit
T000045,2025-09-14,STARBUCKS #1234 SEATTLE WA,6.16,credit
T000046,2025-09-15,TST* SUSHI PALACE,39.03,credit
T000047,2025-09-15,UBER *EATS,51.16,credit
T000048,2025-09-16,DOORDASH*THAI GARDEN,37.09,credit
T000049,2025-09-16,SAFEWAY #1234 SEATTLE WA,99.39,credit
T000050,2025-09-16,SAFEWAY #1234 SEATTLE WA,85.44,credit
T000051,2025-09-16,TST* SUSHI PALACE,42.39,credit
T000052,2025-09-17,SHELL OIL 57440,42.33,credit
T000053,2025-09-17,TST* RAMEN KOBO,44.73,credit
T000054,2025-09-18,AMZN Mktp US*9X2LP,126.99,credit
T000055,2025-09-18,TICKETMASTER,94.30,credit
T000056,2025-09-18,UBER *TRIP,39.89,credit
T000057,2025-09-19,CHIPOTLE 1234,18.69,credit
T000058,2025-09-19,TST* SUSHI PALACE,49.34,credit
T000059,2025-09-19,UBER *EATS,30.44,credit
T000060,2025-09-19,WHOLE FOODS MKT #10263,142.69,credit
T000061,2025-09-20,AMC THEATRES #4412,56.54,credit
T000062,2025-09-20,APPLE.COM/BILL ICLOUD,2.99,checking
T000063,2025-09-20,BEST BUY #245,158.40,credit
T000064,2025-09-20,STARBUCKS #1234 SEATTLE WA,7.20,credit
T000065,2025-09-23,PEETS #88,8.26,credit
T000066,2025-09-23,READLY DIGITAL MAGAZINES,9.99,checking
T000067,2025-09-23,TST* SUSHI PALACE,19.89,credit
T000068,2025-09-24,SHELL OIL 57440,34.61,credit
T000069,2025-09-25,BEST BUY #245,152.62,credit
T000070,2025-09-25,CHIPOTLE 1234,57.88,credit
T000071,2025-09-25,CHIPOTLE 1234,63.37,credit
T000072,2025-09-25,PEETS #88,6.05,credit
T000073,2025-09-25,TARGET T-1234,234.07,credit
T000074,2025-09-25,TST* SUSHI PALACE,24.45,credit
T000075,2025-09-26,LYFT *RIDE,59.24,credit
T000076,2025-09-26,TRADER JOES #567,91.59,credit
T000077,2025-09-27,COSTCO WHSE #123,71.32,credit
T000078,2025-09-27,PEETS #88,4.90,credit
T000079,2025-09-27,PEETS #88,7.75,credit
T000080,2025-09-27,SHELL OIL 57440,17.59,credit
T000081,2025-09-27,TST* RAMEN KOBO,42.84,credit
T000082,2025-09-27,UBER *TRIP,43.89,credit
T000083,2025-09-28,CHIPOTLE 1234,35.49,credit
T000084,2025-09-28,TST* RAMEN KOBO,65.63,credit
T000085,2025-10-01,PACIFIC PROPERTY MGMT RENT,3250.00,checking
T000086,2025-10-01,STARBUCKS #1234 SEATTLE WA,4.98,credit
T000087,2025-10-01,TST* RAMEN KOBO,66.49,credit
T000088,2025-10-01,TST* RAMEN KOBO,62.24,credit
T000089,2025-10-01,UBER *TRIP,4.66,credit
T000090,2025-10-01,UBER *TRIP,48.25,credit
T000091,2025-10-02,TST* SUSHI PALACE,27.48,credit
T000092,2025-10-03,STARBUCKS #1234 SEATTLE WA,7.84,credit
T000093,2025-10-03,STEAM GAMES,73.03,credit
T000094,2025-10-03,TST* SUSHI PALACE,59.32,credit
T000095,2025-10-03,UBER *TRIP,68.94,credit
T000096,2025-10-04,AMZN Mktp US*2H4KJ,80.90,credit
T000097,2025-10-04,AMZN Mktp US*2H4KJ,4.99,credit
